lago,fecha,cyano_promedio,cyano_mediana,cyano_std,pixeles_validos,cobertura_valida_pct,quality_flag
amatitlan,2025-01-28,4.422046184539795,4.486700057983398,0.9811611175537109,146549,11.751,calculado
amatitlan,2025-04-15,4.530263900756836,4.592441558837891,1.3507996797561646,144874,11.6167,calculado
amatitlan,2025-04-28,5.747513294219971,4.891470909118652,2.883925199508667,144882,11.6173,calculado
amatitlan,2025-11-24,4.6677470207214355,4.009677886962891,5.612465858459473,145910,11.6998,calculado
amatitlan,2026-01-08,6.673855781555176,4.893932342529297,8.366567611694336,146638,11.7581,calculado
amatitlan,2026-02-02,4.2844743728637695,4.40214729309082,0.7561307549476624,143853,11.5348,calculado
amatitlan,2026-02-07,4.302241325378418,4.454118728637695,0.7462606430053711,146153,11.7192,cobertura_parcial_oficial
amatitlan,2026-03-29,6.4296441078186035,5.246593475341797,3.9544713497161865,146526,11.7492,calculado
amatitlan,2026-04-13,6.742287635803223,6.414773941040039,1.6206666231155396,147210,11.804,calculado
amatitlan,2026-04-28,9.909293174743652,6.436383247375488,7.465030670166016,139711,11.2027,calculado
amatitlan,2026-06-19,11.487168312072754,10.73574447631836,6.425646781921387,146635,11.7579,calculado
atitlan,2025-01-18,0.38674965500831604,0.3826444745063782,1.255745768547058,1236248,25.5899,revisar_valores_atipicos
atitlan,2025-04-13,1.7846440076828003,1.7517268657684326,0.7207643389701843,1221374,25.282,calculado
atitlan,2025-05-13,1.296051025390625,1.2856602668762207,1.0415583848953247,1221258,25.2796,calculado
atitlan,2025-07-17,1.0949989557266235,1.1860154867172241,1.7782717943191528,1166482,24.1457,revisar_valores_atipicos
atitlan,2025-11-21,0.27142995595932007,0.27312523126602173,1.2752957344055176,1225466,25.3667,revisar_valores_atipicos
atitlan,2025-12-29,0.543929934501648,0.5040946006774902,1.2548953294754028,1236717,25.5996,revisar_valores_atipicos
atitlan,2026-02-12,0.9167526364326477,0.9122199416160583,0.8855549097061157,1224491,25.3465,revisar_valores_atipicos
atitlan,2026-03-24,1.2649210691452026,1.251781702041626,2.5001533031463623,1221808,25.2909,calculado
atitlan,2026-04-13,2.1269969940185547,2.200010299682617,0.9324774742126465,1218570,25.2239,calculado
atitlan,2026-04-28,1.8601137399673462,1.8962489366531372,0.8477906584739685,1218549,25.2235,calculado
atitlan,2026-07-22,1.1415749788284302,1.1227355003356934,2.2376747131347656,1216274,25.1764,revisar_valores_atipicos
