estrategia,fecha_prueba,n_fechas_entrenamiento,modelo,n_prueba,positivos_prueba,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos
encadenado,2025-01-28,1,gradient_boosting,5616,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-13,2,gradient_boosting,48683,0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-15,3,gradient_boosting,5569,23,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido
encadenado,2025-04-28,4,gradient_boosting,5594,390,0.938506,0.60177,0.348718,0.441558,0.380739,0.936327,0.510849,5114,90,254,136
encadenado,2025-05-13,5,gradient_boosting,47075,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,47075,0,0,0
encadenado,2025-07-17,6,gradient_boosting,41498,2,0.999952,0.0,0.0,0.0,0.0,0.983878,0.002226,41496,0,2,0
encadenado,2025-11-21,7,gradient_boosting,24076,3,0.999875,0.0,0.0,0.0,0.0,0.999695,0.224405,24073,0,3,0
encadenado,2025-11-24,8,gradient_boosting,5588,87,0.993737,0.964286,0.62069,0.755245,0.668317,0.998865,0.937755,5499,2,33,54
encadenado,2025-12-29,9,gradient_boosting,35038,2,0.999943,0.5,0.5,0.5,0.5,0.999872,0.35,35035,1,1,1
encadenado,2026-01-08,10,gradient_boosting,5605,347,0.952364,0.570175,0.936599,0.708833,0.829928,0.988137,0.85995,5013,245,22,325
encadenado,2026-02-02,11,gradient_boosting,5453,0,0.993582,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5418,35,0,0
encadenado,2026-02-07,12,gradient_boosting,5333,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5333,0,0,0
encadenado,2026-02-12,13,gradient_boosting,37280,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,37280,0,0,0
encadenado,2026-03-24,14,gradient_boosting,48565,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48565,0,0,0
encadenado,2026-03-29,15,gradient_boosting,5614,420,0.947987,1.0,0.304762,0.467153,0.353982,0.94367,0.841838,5194,0,292,128
encadenado,2026-04-13,16,gradient_boosting,53984,222,0.995962,1.0,0.018018,0.035398,0.022422,0.872125,0.056921,53762,0,218,4
encadenado,2026-04-28,17,gradient_boosting,53722,1788,0.980157,0.998619,0.404362,0.575637,0.458989,0.913705,0.727024,51933,1,1065,723
encadenado,2026-06-19,18,gradient_boosting,5477,3081,0.452072,1.0,0.025966,0.050617,0.032248,0.649502,0.707451,2396,0,3001,80
encadenado,2026-07-22,19,gradient_boosting,43899,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,43899,0,0,0
leave_one_date_out,2025-01-18,19,regresion_logistica,8994,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,8994,0,0,0
leave_one_date_out,2025-01-28,19,regresion_logistica,5616,0,0.998219,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5606,10,0,0
leave_one_date_out,2025-04-13,19,regresion_logistica,48683,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48683,0,0,0
leave_one_date_out,2025-04-15,19,regresion_logistica,5569,23,0.459688,0.007586,1.0,0.015057,0.036812,0.85808,0.149787,2537,3009,0,23
leave_one_date_out,2025-04-28,19,regresion_logistica,5594,390,0.354666,0.0975,1.0,0.177677,0.350719,0.950503,0.654686,1594,3610,0,390
leave_one_date_out,2025-05-13,19,regresion_logistica,47075,0,0.999958,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,47073,2,0,0
leave_one_date_out,2025-07-17,19,regresion_logistica,41498,2,0.998169,0.013158,0.5,0.025641,0.059524,0.826104,0.250069,41421,75,1,1
leave_one_date_out,2025-11-21,19,regresion_logistica,24076,3,0.999875,0.0,0.0,0.0,0.0,0.998934,0.401709,24073,0,3,0
leave_one_date_out,2025-11-24,19,regresion_logistica,5588,87,0.030243,0.015801,1.0,0.03111,0.074308,0.997695,0.922087,82,5419,0,87
leave_one_date_out,2025-12-29,19,regresion_logistica,35038,2,0.999943,0.0,0.0,0.0,0.0,0.999971,0.75,35036,0,2,0
leave_one_date_out,2026-01-08,19,regresion_logistica,5605,347,0.95165,1.0,0.21902,0.359338,0.259563,0.993709,0.945717,5258,0,271,76
leave_one_date_out,2026-02-02,19,regresion_logistica,5453,0,0.487438,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,2658,2795,0,0
leave_one_date_out,2026-02-07,19,regresion_logistica,5333,0,0.995687,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,5310,23,0,0
leave_one_date_out,2026-02-12,19,regresion_logistica,37280,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,37280,0,0,0
leave_one_date_out,2026-03-24,19,regresion_logistica,48565,0,1.0,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,48565,0,0,0
leave_one_date_out,2026-03-29,19,regresion_logistica,5614,420,0.933381,0.530423,0.954762,0.681973,0.823071,0.984621,0.934743,4839,355,19,401
leave_one_date_out,2026-04-13,19,regresion_logistica,53984,222,0.954209,0.022496,0.238739,0.041117,0.081689,0.934649,0.036484,51459,2303,169,53
leave_one_date_out,2026-04-28,19,regresion_logistica,53722,1788,0.980101,0.628164,0.985459,0.767255,0.884805,0.99648,0.896068,50891,1043,26,1762
leave_one_date_out,2026-06-19,19,regresion_logistica,5477,3081,0.545189,0.956656,0.200584,0.331634,0.238242,0.834056,0.862216,2368,28,2463,618
leave_one_date_out,2026-07-22,19,regresion_logistica,43899,0,0.996469,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,43744,155,0,0
leave_one_date_out,2025-01-18,19,random_forest,8994,0,0.999666,indefinido,indefinido,indefinido,indefinido,indefinido,indefinido,8991,3,0,0
