lago,tamano_bloque_m,n_bloques,n_bloques_con_positivo,obs_por_bloque_min,obs_por_bloque_mediana,obs_por_bloque_max
amatitlan,500.0,95,90,10,685.0,1100
atitlan,1000.0,168,3,3,3378.0,3970
