lago,fecha,indice,metodo,coeficiente,p_value,n_pares,direccion,magnitud,quality_flag_cianobacteria,quality_flag_indice,nota_inferencia
amatitlan,2026-04-13,ndvi,spearman,0.62797362,<1e-300,140873,positiva,fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-13,ndwi,pearson,0.0091767,0.00057246028,140873,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-13,ndwi,spearman,0.07669213,9.8139254e-183,140873,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-28,ndvi,pearson,0.91244519,<1e-300,129097,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-28,ndvi,spearman,0.91446284,<1e-300,129097,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-28,ndwi,pearson,-0.88683772,<1e-300,129097,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-04-28,ndwi,spearman,-0.89617576,<1e-300,129097,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-06-19,ndvi,pearson,0.72966008,<1e-300,141050,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-06-19,ndvi,spearman,0.85879505,<1e-300,141050,positiva,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-06-19,ndwi,pearson,-0.7338306,<1e-300,141050,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
amatitlan,2026-06-19,ndwi,spearman,-0.75290201,<1e-300,141050,negativa,muy_fuerte,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-01-18,ndvi,pearson,0.02816262,6.9748418e-210,1204725,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-01-18,ndvi,spearman,0.09752775,<1e-300,1204725,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-01-18,ndwi,pearson,0.01935257,1.7039202e-101,1221263,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-01-18,ndwi,spearman,0.09879664,<1e-300,1221263,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-04-13,ndvi,pearson,-0.01527053,9.2523626e-64,1218498,negativa,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-04-13,ndvi,spearman,0.02941986,1.897303e-231,1218498,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-04-13,ndwi,pearson,-4.909e-05,0.95678845,1218498,negativa,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-04-13,ndwi,spearman,-0.06903121,<1e-300,1218498,negativa,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-05-13,ndvi,pearson,0.0354262,<1e-300,1217531,positiva,muy_debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-05-13,ndvi,spearman,0.12731947,<1e-300,1217531,positiva,debil,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-05-13,ndwi,pearson,-0.34932273,<1e-300,1217531,negativa,moderada,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-05-13,ndwi,spearman,-0.49880001,<1e-300,1217531,negativa,moderada,calculado,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-07-17,ndvi,pearson,0.00903043,2.0748818e-22,1162816,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-07-17,ndvi,spearman,0.00213204,0.021501553,1162816,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-07-17,ndwi,pearson,-0.16323283,<1e-300,1163021,negativa,debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-07-17,ndwi,spearman,-0.37473837,<1e-300,1163021,negativa,moderada,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-11-21,ndvi,pearson,0.01692901,1.3600157e-77,1212965,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-11-21,ndvi,spearman,0.12869445,<1e-300,1212965,positiva,debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-11-21,ndwi,pearson,0.04435402,<1e-300,1218476,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-11-21,ndwi,spearman,0.13231968,<1e-300,1218476,positiva,debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-12-29,ndvi,pearson,0.01070753,3.3254503e-32,1217174,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-12-29,ndvi,spearman,0.08092495,<1e-300,1217174,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-12-29,ndwi,pearson,0.02757904,1.045846e-203,1218931,positiva,muy_debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2025-12-29,ndwi,spearman,0.23538928,<1e-300,1218931,positiva,debil,revisar_valores_atipicos,calculado,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-02-12,ndvi,pearson,0.03109399,2.6335212e-257,1213758,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-02-12,ndvi,spearman,0.22955765,<1e-300,1213758,positiva,debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
atitlan,2026-02-12,ndwi,pearson,0.02639402,1.1315769e-186,1218444,positiva,muy_debil,revisar_valores_atipicos,revisar_valores_atipicos,p_value_exploratorio_por_autocorrelacion_espacial
