lago,fecha,zona,n_prueba,positivos_reales,probabilidad_media,verdaderos_negativos,falsos_positivos,falsos_negativos,verdaderos_positivos,tasa_error,tasa_falsos_positivos,tasa_falsos_negativos
atitlan,2025-12-29,orilla_0_250m,1558,0,0.000698,1557,1,0,0,0.000642,0.000642,indefinido
atitlan,2026-02-12,interior_mas_1000m,7816,0,0.0,7816,0,0,0,0.0,0.0,indefinido
atitlan,2026-02-12,intermedia_250_1000m,2946,0,1e-06,2946,0,0,0,0.0,0.0,indefinido
atitlan,2026-02-12,orilla_0_250m,635,0,5e-06,635,0,0,0,0.0,0.0,indefinido
atitlan,2026-03-24,interior_mas_1000m,7912,0,0.0,7912,0,0,0,0.0,0.0,indefinido
atitlan,2026-03-24,intermedia_250_1000m,4661,0,1e-06,4661,0,0,0,0.0,0.0,indefinido
atitlan,2026-03-24,orilla_0_250m,2009,0,1e-06,2009,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-13,interior_mas_1000m,7924,0,2e-06,7924,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-13,intermedia_250_1000m,4672,0,6e-06,4672,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-13,orilla_0_250m,1967,0,9e-06,1967,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-28,interior_mas_1000m,7928,0,1e-06,7928,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-28,intermedia_250_1000m,4642,0,3e-06,4642,0,0,0,0.0,0.0,indefinido
atitlan,2026-04-28,orilla_0_250m,1965,0,6e-06,1965,0,0,0,0.0,0.0,indefinido
atitlan,2026-07-22,interior_mas_1000m,6738,0,2e-06,6738,0,0,0,0.0,0.0,indefinido
atitlan,2026-07-22,intermedia_250_1000m,4275,0,4e-06,4275,0,0,0,0.0,0.0,indefinido
atitlan,2026-07-22,orilla_0_250m,1943,0,9.9e-05,1943,0,0,0,0.0,0.0,indefinido
